origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,5,198,203,local_bwar,24.0,0.1,0.08605067831130689,8.471197780571607e-10,1.0,0.0
0,5,199,204,local_bwar,24.0,0.1,0.0903154202939052,9.100139405026132e-10,1.0,0.0
0,5,200,205,local_bwar,24.0,0.1,0.09093183015750389,9.974245441608353e-10,1.0,0.0
0,5,201,206,local_bwar,24.0,0.1,0.0857937467238586,9.77795486644746e-10,1.0,0.0
0,5,202,207,local_bwar,24.0,0.1,0.08489745539760837,8.886634028325199e-11,1.0,0.0
0,5,203,208,local_bwar,24.0,0.1,0.08465591131775424,9.515380083546373e-11,1.0,0.0
0,5,204,209,local_bwar,24.0,0.1,0.08720988885039031,9.849618838825432e-10,1.0,0.0
0,5,205,210,local_bwar,24.0,0.1,0.10089436937026239,7.61351786648465e-10,1.0,0.0
0,5,206,211,local_bwar,24.0,0.1,0.11233252323678782,6.563319330738443e-10,1.0,0.0
0,5,207,212,local_bwar,24.0,0.1,0.11339980160173804,3.2187406401785714e-10,1.0,0.0
0,5,208,213,local_bwar,24.0,0.1,0.10709889907768678,1.5478732501733475e-10,1.0,0.0
0,5,209,214,local_bwar,24.0,0.1,0.09993215936961553,6.094862659626756e-11,1.0,0.0
0,5,210,215,local_bwar,24.0,0.1,0.11336717372109151,8.857168874880913e-10,1.0,0.0
0,5,211,216,local_bwar,24.0,0.1,0.12362085333183034,8.809116365861258e-10,1.0,0.0
0,5,212,217,local_bwar,24.0,0.1,0.12484294342087818,8.811005194716779e-10,1.0,0.0
0,5,213,218,local_bwar,24.0,0.1,0.13114873885688327,8.536607723974579e-10,1.0,0.0
0,5,214,219,local_bwar,24.0,0.1,0.1271300252579879,9.081238590359876e-10,1.0,0.0
0,5,215,220,local_bwar,24.0,0.1,0.1333654934027174,9.248441330489828e-10,1.0,0.0
0,5,216,221,local_bwar,24.0,0.1,0.10824706466424744,8.84330266182373e-10,1.0,0.0
0,5,217,222,local_bwar,24.0,0.1,0.10233195956780494,9.003097641144808e-10,1.0,0.0
0,5,218,223,local_bwar,24.0,0.1,0.1133499415325903,9.960517040499352e-10,1.0,0.0
1,3,221,224,local_bwar,48.0,0.01,0.08817531684514927,1.0961141561225875e-10,1.0,0.0
1,3,222,225,local_bwar,48.0,0.01,0.11947032646165777,1.0702956240852152e-10,1.0,0.0
1,3,223,226,local_bwar,48.0,0.01,0.0942944330952569,1.0344362860095621e-10,1.0,0.0
1,3,224,227,local_bwar,48.0,0.01,0.06820033765263107,1.0313769375047309e-10,1.0,0.0
1,3,225,228,local_bwar,48.0,0.01,0.1242329487684927,1.0286809378378291e-10,1.0,0.0
1,3,226,229,local_bwar,48.0,0.01,0.13393323099251903,1.064090545511832e-10,1.0,0.0
